,description,charge
6046,PIN HALF APEX SELF DRILLING 5X180,632
6047,PIN HALF APEX4X120MM 5023-5-120,535
6048,PIN HEADLESS 3.2X75MM 00590102000,692
6049,PIN HEADLESS FL 3.2 89MM76502038A,"2,713"
6050,PIN HLF SLF DRILL 5X180 50175180S,826
6051,PIN IBAL THREAD SHRT AR61115,245
6052,PIN IBAL UKA TROCAR AR61350,797
6053,PIN LOCKING,"1,276"
6054,PIN MAKO 3.2X110 213524,"1,179"
6055,PIN MAKO 3.2X140 213527,"1,179"
6056,PIN PACK ATTUNE 254400111,"3,001"
6057,PIN RUSH 4.8X203 00080200102,788
6058,PIN RUSH 4.8X241 00080200104,788
6059,PIN RUSH MEDUL6.4X337 00080100105,788
6060,PIN S/D APEX 5/150MM,632
6061,PIN SCHANZ 5.0 AR895401,"1,751"
6062,PIN SELF-DRILLING APEX 5/150MM,632
6063,PIN SKULL MAYFIELD DISPOSABLE PLA,391
6064,PIN SLF DRILL APX 5X150 50175150S,826
6065,PIN STEINMAN 3.2MM 110003484,960
6066,PIN STEINMAN 3/32X9IN 72204561,695
6067,PIN STEINMANN 9  405800,"1,243"
6068,PIN TRANSFIX 04X250MM,607
6069,PIN TRANSFIXATION 6.0MM/225MM,786
6070,PIN TROCAR 1/8X5 71210003,687
6071,"PINDOLOL TAB, 5MG",7
6072,PINHALFAPEX6X200MM50MM5014-5-200S,876
6073,PINNACLE 6FR HOCKEYSTICK RSC05,578
6074,PINNACLE 7FR STR 5474501,520
6075,PINS SALTO TAL SGL USE LJU095,"1,138"
6076,PINS THREADED SIGMA 950502303,"2,913"
6077,"PIOGLITAZONE TAB, 15MG",32
6078,"PIOGLITAZONE TAB, 30MG",49
6079,"PIOGLITAZONE TAB, 45MG",53
6080,PIPELINE EMBOLIZATION DEVICE(EV3),"83,383"
6081,PKU TO THE STATE,131
6082,"PLACE ACC-BIL.TREE/SM.BWL,NEW ACC","5,422"
6083,"PLACE BILIARY DRAIN.CATH,EXTERNAL","7,381"
6084,"PLACE BILIARY DRAIN.CATH,INT-EXT","6,656"
6085,PLACE CATH CARO/INOM ART.EXT-CRAN,"3,909"
6086,PLACE CATH CARO/INOM ART.INT-CRAN,"3,909"
6087,PLACE CATH CAROTID ARTERY,"6,394"
6088,PLACE CATH SUBCLAVIAN ART,"4,949"
6089,PLACE CATH THORACIC AORTA,"3,909"
6090,PLACE CATH VERTEBRAL ART,"14,908"
6091,PLACE CATH XTRNL CAROTID,"2,019"
6092,PLACE DEVICE/MARKER NON-PROSTATE,"2,776"
6093,PLACE DUOD/JEJ TUBE PERC,"2,713"
6094,PLACE GASTRO TUBE,"4,269"
6095,PLACE GASTROSTOMY TUBE PERC,"1,206"
6096,PLACE NEEDLE IN VEIN,"1,440"
6097,"PLACE NEPHRO/URET CATH,NEW ACCESS","14,597"
6098,"PLACE NEPHROSTOMY CATH,COMPLETE","8,578"
6099,"PLACE NEPHROSTOMY CATH,PRE-EXIST","9,500"
6100,"PLACE URET.STENT,NEW ACC,NO CATH","14,597"
6101,"PLACE URET.STENT,PRE-EX.NEPH.TR","14,597"
6102,PLACEMENT LOOP RECORDER - MINI,"1,021"
6103,PLACEMENT OF NEEDLE FOR INTRAOSSE,457
6104,PLACENTA CULTURE,204
6105,"PLASMA, FRESH FROZEN (8-24 HRS)",565
6106,"PLASMINOGEN,EXCEPT ANTIGENIC ASSA",154
6107,PLATE 1.2MM 24H 5506224,"2,923"
6108,PLATE 15H RIB RT 04501002,"9,254"
6109,PLATE 16H RIB RT 04501004,"9,254"
6110,PLATE 2.4 LCP 6H RT 0211550,"6,028"
6111,PLATE 2.4 VALCP 6H 02111520,"6,616"
6112,PLATE 2.7X93 8H SS 00492800803,"1,064"
6113,PLATE 3.5MM LCP 10 HOLE (245.101),"3,552"
6114,PLATE 3.5MM LCP 14 HOLE (223.641),"3,802"
6115,PLATE 355MM NCB 18H 0203264118,"10,368"
6116,PLATE 3D MAX 10X10MM 5506237,"7,836"
6117,PLATE 3D MAX 2X2MM 5506231,"1,360"
6118,PLATE 3D MAX 2X6MM 5506233,"2,444"
6119,PLATE 3H 25MM AR800725,"5,809"
6120,PLATE 5HL RECON NON LOCK 430105,"1,430"
6121,PLATE 5TH METATARSAL RT AR8956R03,"7,443"
6122,PLATE 6 HOLE SYMPHYSIS PUBIS,"3,247"
6123,PLATE 65MM VAR RT 3H 629363,"3,837"
6124,PLATE 6HL RECON NONLK 430106,"1,530"
6125,PLATE 7 HOLE 98MM,"1,783"
6126,PLATE 84MM VAR HUM 629223,"3,837"
6127,PLATE 86MM 3 HL PROXIMAL AXSOS,"6,562"
6128,PLATE 9 HOLE 3.5MM/116M (223.591),"2,236"
6129,PLATE ANCHORAGE LRG LFT PLP30201,"5,449"
6130,PLATE ANCHORAGE MED RT PLP30172,"5,743"
6131,PLATE ANCHORAGE MTP5H RT PLP11342,"5,449"
6132,PLATE ANCHORAGE RT PLP20342,"5,449"
6133,PLATE ANCHORAGE WEDGE4MM PLP54230,"5,449"
6134,PLATE ANCHORAGEMTPLFT SM PLP11341,"5,449"
6135,PLATE ANCHORL LOCK 48667000,"3,007"
6136,PLATE ANT ANKLE LFT AR8970AL,"12,114"
6137,PLATE ANT CERV 1LEV 18MM 31118,"5,809"
6138,PLATE ANT CERV 4LEV 76MM 31476,"9,773"
6139,PLATE ANT CERV 4LEV 84MM 31484,"5,254"
6140,PLATE ANTHOLOGY HIGH SZ3 71357103,"13,153"
6141,PLATE ATL VISION 67.5 7200167,"8,730"
6142,PLATE ATL VISION 72.5 7200072,"8,536"
6143,PLATE ATL VISION 75MM 7200075,"8,730"
6144,PLATE ATLANTIS 50MM 7200050,"10,350"
6145,PLATE ATLANTIS ELITE 47.5 7200147,"8,536"
6146,PLATE ATLANTIS VISION70MM 7200070,"8,536"
6147,PLATE AVIATOR 1LEV 14MM 48811114,"10,634"
6148,PLATE AVIATOR 2L 32MM 48811232,"11,243"
6149,PLATE AVIATOR 2LEV 30MM 48811230,"11,165"
6150,PLATE AVIATOR 2LEV 45MM 48811345,"11,165"
6151,PLATE AVIATOR 2LEV SZ26 48811226,"10,062"
6152,PLATE AVIATOR 2LEV SZ28 48811228,"10,062"
6153,PLATE AVIATOR 3LEV 48MM 48811348,"12,010"
6154,PLATE AVIATOR 3LEV 51MM 48811351,"12,010"
6155,PLATE AVIATOR 3LEV54MM 48811354,"12,010"
6156,PLATE AVIATOR 4LEV 64MM 48811464,"13,190"
6157,PLATE AVIATOR 4LEV 72MM 48811472,"13,190"
6158,PLATE AVIATOR SZ12 1LEV 48811112,"10,636"
6159,PLATE AXSOS 10H 199MM FEM 627340,"7,410"
6160,PLATE AXSOS 10H FEM 627640,"8,670"
6161,PLATE AXSOS 10HL 5MM L187 427110S,828
6162,PLATE AXSOS 12H 202MM 627242,"12,487"
6163,PLATE AXSOS 12H 274MM 627642,"8,844"
6164,PLATE AXSOS 12H LFT 627612,"8,844"
6165,PLATE AXSOS 14H 227 LFT TIB627414,"9,681"
6166,PLATE AXSOS 14H 228 627244S,"11,746"
6167,PLATE AXSOS 14H 229 RT 627494,"8,011"
6168,PLATE AXSOS 14H 310 627644,"9,020"
6169,PLATE AXSOS 14H 310MM LFT 627614,"9,020"
6170,PLATE AXSOS 14H TIB RT 627744,"9,280"
6171,PLATE AXSOS 166 4H 627604,"8,844"
6172,PLATE AXSOS 166MM 6H 627606,"8,670"
6173,PLATE AXSOS 16H 254 627246S,"11,748"
6174,PLATE AXSOS 16H 343MM627646,"9,201"
6175,PLATE AXSOS 2H 95MM 627332,"7,122"
6176,PLATE AXSOS 379MM FEM 18H 627618S,"14,317"
6177,PLATE AXSOS 3H 621424,786
6178,PLATE AXSOS 3H 86MM HUM 627233,"7,832"
6179,PLATE AXSOS 3H SM FRAG 621423,601
6180,PLATE AXSOS 3H SPS 621428,829
6181,PLATE AXSOS 4H 127MM 627304,"5,580"
6182,PLATE AXSOS 4H 71MM 627734,"7,772"
6183,PLATE AXSOS 5X263MM 14H 427144S,"1,253"
6184,PLATE AXSOS 6H 127MM 627336,"7,122"
6185,PLATE AXSOS 6H 127MM LFT 627306,"5,580"
6186,PLATE AXSOS 6H TI 621426,829
6187,PLATE AXSOS 6H TIB LOCK 627706,"8,275"
6188,PLATE AXSOS 8H 173MM 627338,"7,264"
6189,PLATE AXSOS 8H FEM 627608,"8,500"
6190,PLATE AXSOS 8H LFT 627308,"7,264"
6191,PLATE AXSOS 8H RT TIB 627738,"7,264"
6192,PLATE AXSOS 95MM 2H 627302,"5,954"
6193,PLATE AXSOS FEM 10H LFT 627610,"8,670"
6194,PLATE AXSOS HUM RT 4HL 627234,"8,224"
6195,PLATE AXSOS HUM RT 5H 627235,"9,153"
6196,PLATE AXSOS HUM RT 6H 6277236,"11,956"
6197,PLATE AXSOS NAR 10H 627540,"8,665"
6198,PLATE AXSOS TIB 16H 253 627446S,"9,897"
6199,PLATE AXSOS TIB 18H 279 627448S,"10,106"
6200,PLATE AXSOS TPLATE 4H 621434,650
6201,PLATE BASE TIB JOURN SZ2 74022212,"5,255"
6202,PLATE BASE TIBIAL LFT SZ3 JOURNEY,"5,592"
6203,PLATE BASE TIBIAL LT SZ 5 JOURNEY,"5,592"
6204,PLATE BASE TIBIAL LT SZ6JOURNEY,"5,592"
6205,PLATE BASE TIBIAL RT SZ 3 JOURNEY,"5,592"
6206,PLATE BASE TIBIAL RT SZ4 JOURNEY,"5,592"
6207,PLATE BASETIB JOURNEYSZ7 74022217,"5,255"
6208,PLATE BOX 2X2 SM UNIV 5334228,"1,051"
6209,PLATE BOX LRG UNIV 5334240,315
6210,PLATE BURR HOLE 7MM 5334507,"1,418"
6211,PLATE BUTTON CLAVICLE AR2658,"2,027"
6212,PLATE CALC VAR LRG MESH 4010106,"3,072"
6213,PLATE CALC VAR SM MESH 40-10102,"2,672"
6214,PLATE CALCANEAL LONG RT AR89544RL,"6,393"
6215,PLATE CALCANEAL LONGLFT AR8954MLL,"6,393"
6216,PLATE CALCFX AR8954YRS,"6,393"
6217,PLATE CALCFX TUBE L AR8954YLL,"6,393"
6218,PLATE CERV 1LEV 17MM 31117,"5,254"
6219,PLATE CERV 1LEV 20MM 31120,"5,809"
6220,PLATE CERV 1LEV 22MM 31122,"5,809"
6221,PLATE CERV 2LEV 34MM 31234,"6,936"
6222,PLATE CERV 2LEV 36MM 31236,"6,936"
6223,PLATE CERV 2LEV 38MM 31238,"6,936"
6224,PLATE CERV 2LEV 40MM 31240,"6,936"
6225,PLATE CERV 2LEV 46MM 31246,"5,254"
6226,PLATE CERV 3LEV 48MM 31348,"5,254"
6227,PLATE CERV 3LEV 54MM 31354,"7,496"
6228,PLATE CERV 3LEV 57MM 31357,"7,496"
6229,PLATE CERV 3LEV 60MM 31360,"7,496"
6230,PLATE CERV 4 LEV 72MM 31472,"9,773"
6231,PLATE CERV 4LEV 80MM 31480,"5,254"
6232,PLATE CERV 53MM 2LEV 1140253,"6,936"
6233,PLATE CERV ALTANTIS 77.5 7200077,"10,764"
6234,PLATE CERV ATL 23MM 7200023,"8,639"
6235,PLATE CERV ATL 40MM 7200040,"9,506"
6236,PLATE CERV ATL VISION27.5 7200027,"12,379"
6237,PLATE CERV ATL VISION42.5 7200042,"9,506"
6238,PLATE CERV ATLANTIS 25MM 7200025,"12,379"
6239,PLATE CERV ATLANTIS 30MM 7200030,"8,639"
6240,PLATE CERV ATLANTIS 37.5 7200037,"9,506"
6241,PLATE CERV ATLANTIS 45MM 7200045,"13,377"
6242,PLATE CERV ATLANTIS 52.5 7200052,"10,764"
6243,PLATE CERV ATLANTIS 55MM 7200055,"14,871"
6244,PLATE CERV ATLANTIS 57.5MM7200057,"10,764"
6245,PLATE CERV ATLANTIS 70MM 7200170,"9,700"
6246,PLATE CERV FUJI 1LEV 20MM 1140120,"7,519"
6247,PLATE CERV FUJI 1LEV 22 1140122,"5,809"
6248,PLATE CERV FUJI 1LEV 24MM 1140124,"5,809"
6249,PLATE CERV FUJI 1LEV 26MM 1140126,"5,809"
6250,PLATE CERV FUJI 1LEV 28MM1140128,"5,809"
6251,PLATE CERV FUJI 2LEV 35 1140235,"6,936"
6252,PLATE CERV FUJI 2LEV 38MM 1140238,"6,936"
6253,PLATE CERV FUJI 2LEV 44MM 1140244,"6,936"
6254,PLATE CERV FUJI 2LEV 56 1140256,"6,936"
6255,PLATE CERV FUJI 3LEV 50MM 1140350,"7,496"
6256,PLATE CERV FUJI 3LEV 53 1140353,"7,496"
6257,PLATE CERV FUJI 3LEV 56 1140356,"7,496"
6258,PLATE CERV FUJI 3LEV 59 1140359,"7,496"
6259,PLATE CERV FUJI 3LEV 62MM 1140362,"7,496"
6260,PLATE CERV FUJI 3LEV 65MM 1140365,"7,496"
6261,PLATE CERV FUJI 4LEV 77MM 1140477,"9,773"
6262,PLATE CERV FUJI 4LEV 80MM 1140480,"9,773"
6263,PLATE CERV FUJI 4LEV 83MM 1140483,"9,773"
6264,PLATE CERV FUJI 4LEV 86MM 1140486,"9,773"
6265,PLATE CERV VECTRA 34MM2L 04613134,"6,498"
6266,PLATE CLAV 8H LFT AR2657DL,"3,211"
6267,PLATE CLAV VAR 4H RT 628224S,"4,554"
6268,PLATE CLAV VAR 5H RT 628225S,"4,554"
6269,PLATE CLAV VAR 7H 628227S,"5,616"
6270,PLATE CLAV VAR 7H LFT 628207S,"5,992"
6271,PLATE CLAVICAL VAR 86MM4H 678204S,"5,054"
6272,PLATE CMF 26H LEV1 507972609,"9,447"
6273,PLATE CMF LOCK 4H 507720409,"3,420"
6274,PLATE CMF LSHAPE 4X3H 253100709,"1,480"
6275,PLATE CMF MIDFACE 6H 253101609,"4,660"
6276,PLATE COMP 9H 627539,"8,758"
6277,PLATE COMP AXSOS 169MM 9H427109S,828
6278,PLATE COMP AXSOS5X227MM12H427142S,"1,253"
6279,PLATE COMP4.5X167 10H 00494501000,"1,138"
6280,PLATE COMP5X299MM 16H 427146S,"1,339"
6281,PLATE COVER BUR HL 10MM 5334510,266
6282,PLATE COVER BUR HL 14MM 5334514,"1,328"
6283,PLATE CROSS CNCT 32MM 48551074,"10,225"
6284,PLATE CROSSLINK 5.5X34 8115534,"10,270"
6285,PLATE CURV LEIB1.7MM 6H 55-05188,"1,439"
6286,PLATE CURV VAR RT 4H 40-15011,"1,410"
6287,PLATE CURV VAR RT 5H 4015012,"2,659"
6288,PLATE CURVE 5H LFT 4015013,"1,529"
6289,PLATE CURVE MPS 8H 425658,"1,694"
6290,PLATE CURVED 10HL 1.2MM UF5506250,"1,405"
6291,PLATE DIST LAT 6H 627636,"8,671"
6292,PLATE DVR 24X59MM DVRAL,"5,195"
6293,PLATE DVR LFT XSHORT 5425673,"4,174"
6294,PLATE FEM 317MM 15H 0203264115,"9,900"
6295,PLATE FEM AXSOS 16H RT 343 436536,"4,423"
6296,PLATE FEM NCB 238MM9H 0202264109,"8,862"
6297,PLATE FEM NCB224MM LFT 0203263115,"9,900"
6298,PLATE FEM NCP 324MM 0203263015,"9,900"
6299,PLATE FEMOSTEOLFT L/XL AR13110L02,"6,568"
6300,PLATE FIB 7H 2.7 LEFT 02118409,"6,704"
6301,PLATE FIB BAR 6H 84MM 4020806S,"1,746"
6302,PLATE FIB FT WARIAX 5H 4020905,"3,092"
6303,PLATE FIB LCK DIST 4H AR8943BR04,"3,313"
6304,PLATE FIB LCP 4H 02118402,"5,602"
6305,PLATE FIB LOCK 4H AR8943BL04,"3,211"
6306,PLATE FIB LOCK 5H AR8943BR05,"3,795"
6307,PLATE FIB LOCK RT 6H AR8943BR06,"4,233"
6308,PLATE FIB VAR 10H 132MM 4020810S,"1,746"
6309,PLATE FIB VAR 12H 4020812S,"2,411"
6310,PLATE FIB VAR 149MM 9H 4020909,"2,952"
6311,PLATE FIB VAR 14H 180MM 4020814S,"2,413"
6312,PLATE FIB VAR 16H 204MM 4020816S,"2,413"
6313,PLATE FIB VAR 4H 4020804,"1,853"
6314,PLATE FIB VAR 7H 4020907,"3,364"
6315,PLATE FIB VAR 7H 96MM 4020807,"2,671"
6316,PLATE FIB VAR 8H 137MM 40-20908,"3,364"
6317,PLATE FIB VARIAX 5H 72MM 4020805S,"1,746"
6318,PLATE FIB VARIAX 8H 108MM 4020808,"1,854"
6319,PLATE FIB VARIAX FOOT 4H 4020904,"3,092"
6320,PLATE FIB VARIAX FT 3H 4020903,"3,092"
6321,PLATE FIBULA VARIAX FT 6H 4020906,"3,092"
6322,PLATE FUJI CERV 3LEV 47 1140347,"16,872"
6323,PLATE GLEN EQUINOXE REV 3201501,"7,499"
6324,PLATE HOFFMAN 49341060,836
6325,PLATE HUM 12H 202MM 627212,"11,029"
6326,PLATE HUM 163MM 10H LFT 629390S,"7,531"
6327,PLATE HUM 163MM 12H 629392S,"5,197"
6328,PLATE HUM 173MM 10H 629250S,"7,531"
6329,PLATE HUM AXSOS 10H 176 627210,"10,557"
6330,PLATE HUM AXSOS 14H 228 627214S,"10,557"
6331,PLATE HUM AXSOS 16H 627216S,"10,557"
6332,PLATE HUM AXSOS 3H LFT 627203,"8,224"
6333,PLATE HUM AXSOS 4H 627204,"8,224"
6334,PLATE HUM AXSOS 5H 627205,"8,224"
6335,PLATE HUM LCP 3.5X91MM2H 02123020,"10,131"
6336,PLATE HUM LCP 3H 75MM 02117203,"7,850"
6337,PLATE HUM LCP 4H 108MM 02117404,"7,850"
6338,PLATE HUM VAR 109MM 4H 629204,"5,620"
6339,PLATE HUM VAR 12H LFT 629252S,"7,921"
6340,PLATE HUM VAR 14H 629254S,"5,580"
6341,PLATE HUM VAR 14H RT 629274S,"5,954"
6342,PLATE HUM VAR 150MM 8H RT 629268,"4,684"
6343,PLATE HUM VAR 196MM 12H 629272S,"7,922"
6344,PLATE HUM VAR 85 3H 629203S,"4,623"
6345,PLATE HUM VAR ELB105MM 4H 629244,"5,620"
6346,PLATE IBAL LRG 7DEG AR13400L007,"11,092"
6347,PLATE INFRAPECTINEAL SM 425932S,"5,768"
6348,PLATE L 1.7MM 5H 2MM BAR 5506761,"1,212"
6349,PLATE L 5H 100D 2MM 55-06760,"1,212"
6350,PLATE L LEIB 6H 100D 5506766,"1,367"
6351,PLATE L LEIB 6H 8MM 5506764,"1,329"
6352,PLATE L LEIB 8H 90D 55-06260,"1,083"
6353,PLATE L LEIB1.7MM6H100D8MM5506765,"1,331"
6354,PLATE L LEIBINGER 1.2MM 8H5506261,"1,083"
6355,PLATE LAPIDUS LFT PLP20341,"5,449"
6356,PLATE LCDCP 2X39 6H 243586,"1,644"
6357,PLATE LCK VAR ELB 116MM 6H 629386,"4,726"
6358,PLATE LCP 10 HOLE 1/3 TUBULAR,980
6359,PLATE LCP 12 HOLE 3.5/1 (223.621),"2,542"
6360,PLATE LCP 2.0 02130350,"2,837"
6361,PLATE LCP 2.4MM 3HL 02111630,"5,800"
6362,PLATE LCP 2.4X58 3H 249615,"4,039"
6363,PLATE LCP 2.7X67MM 7H 249683,"2,762"
6364,PLATE LCP 2MM 52MMX7H 247347,"1,311"
6365,PLATE LCP 2MMX2H 247349,"5,151"
6366,PLATE LCP 2X8H 247348,"1,527"
6367,PLATE LCP 3.5 8H CLAV 02112031,"6,554"
6368,PLATE LCP 3.5MM 85MMX6H 02112080,"5,064"
6369,PLATE LCP 3.5X197 12H 239962,"10,218"
6370,PLATE LCP 3.5X79 2H 02120702S,"6,833"
6371,PLATE LCP 4H 2.4MM 241685,"4,402"
6372,PLATE LCP 6 HOLE 3.5MM/85MM,"1,710"
6373,PLATE LCP 8 HOLE 3.5MM/111MM,"1,870"
6374,PLATE LCP3.5MM 115MMX8H02.112.085,"5,333"
6375,PLATE LEV ONE CFF 6H 507900609,"5,172"
6376,PLATE LEV ONE CMF 4H 257520409,"1,571"
6377,PLATE LEV1 4H 2-2.5X24 257500409,"1,480"
6378,PLATE LEV1 6H 2.7MM 507920609,"5,172"
6379,PLATE LEVEL ONE 12H 37 5072312,"2,436"
6380,PLATE LEVEL ONE CMF 6H 253081609,"1,328"
6381,PLATE LISFRANC MED LFT PLP30171,"5,449"
6382,PLATE LOCK 1/3 TUBE 5H AR8943T05,"1,344"
6383,PLATE LOCK 129 7H 00235800907,"5,434"
6384,PLATE LOCK 3H AR8943H03,"4,816"
6385,PLATE LOCK 3RDTUB 4H AR9943T04,"1,314"
6386,PLATE LOCK 5H 103MM 00235801205,"5,202"
6387,PLATE LOCK ACUMED 10H PLSLB10L,"10,126"
6388,PLATE LOCK ACUMED 9H LFT PLSMB09L,"9,394"
6389,PLATE LOCK AXS5X238 10X5X5H437510,"6,803"
6390,PLATE LOCK AXSOS 12H 627312,"7,277"
6391,PLATE LOCK AXSOS 202 12H 437112S,"6,520"
6392,PLATE LOCK AXSOS 4H 627704,"7,277"
6393,PLATE LOCK AXSOS 4H TIB 627334,"6,982"
6394,PLATE LOCK AXSOS 5H 627705,"7,277"
6395,PLATE LOCK AXSOS 6H 627736,"7,277"
6396,PLATE LOCK AXSOS 6H TIB 627486,"5,798"
6397,PLATE LOCK AXSOS 8H 627408,"7,726"
6398,PLATE LOCK AXSOS 8H 627456,"8,011"
6399,PLATE LOCK AXSOS 8H 627458,"8,011"
6400,PLATE LOCK AXSOS 8H 627488,"5,798"
6401,PLATE LOCK HAND VAR 8H 5715361,"1,970"
6402,PLATE LOCK LAT HOOK 3H AR8943TH03,"4,087"
6403,PLATE LOCK THIRD TUB10H AR9943T10,"1,601"
6404,PLATE LOCK VAR 10H 49MM 5425683,"4,454"
6405,PLATE LOCK VAR 3MMX92MM 4H 629384,"5,620"
6406,PLATE LOCK VAR 6H 5715340,"1,246"
6407,PLATE LOCK VAR DORSAL RT 5425290,"3,821"
6408,PLATE LOCK VAR SHORT RT 5425583,"8,027"
6409,PLATE LOCK VAR2.3X1.5 7H 5715370,"1,727"
6410,PLATE LOCK VARIAX 6H 5715321,"1,157"
6411,PLATE LOCK VARIEX SHRT 5425573,"8,565"
6412,PLATE LOCKING 1/3 TUB 7HL 427067,588
6413,PLATE LOCKING AXSOS 6HL 427006S,678
6414,PLATE LOCKING RECON 10HL 427040S,"2,425"
6415,PLATE M LOCK 2.3X1.5MM 16H5715316,"1,860"
6416,PLATE MALTA PELVIC 6 HOLE,"1,679"
6417,PLATE MAX 1.2MM 4H STAN UP5506254,689
6418,PLATE MAX 1.2MM 7H 5506240,"1,015"
6419,PLATE MAX 1.2MM8H STRAIT 5506208,"1,568"
6420,PLATE MONZA 50MM 3LEV 1160350,"7,496"
6421,PLATE MONZA 56MM 3LEV 1160356,"17,379"
6422,PLATE NCB 14H 289 203265014,"4,479"
6423,PLATE NCB 238 9H 0203264009,"8,862"
6424,PLATE NCB 238MM 9H 0202264009,"8,862"
6425,PLATE NCB FEM 278MM 0203264112,"9,339"
6426,PLATE NCB FEM RT 12HL 0203264012,"9,339"
6427,PLATE NCB FEMRT 15H317 0203264015,"9,900"
6428,PLATE NCB TIB 192MM 9H 0202261209,"9,195"
6429,PLATE NEURO SM 6H 5334612,"1,748"
6430,PLATE OASYS CNCT SM 48551073,"10,225"
6431,PLATE OASYS OCCIPUT LRG 48551047,"25,395"
6432,PLATE OASYS OCCIPUT MED 48551045,"25,395"
6433,PLATE OLECRAN VAR 113MM 6H 629366,"5,928"
6434,PLATE OLECRAN VAR 65 3H 629363S,"4,623"
6435,PLATE OLECRANON VAR 113MM6H629346,"5,928"
6436,PLATE OLECRANON VAR 137MM8H629348,"6,239"
6437,PLATE OLECRANON VAR 89MM 4H629344,"5,620"
6438,PLATE OLECRANON VAR65MM3H 629343S,"4,933"
6439,PLATE OLECRANON VAR89MM3H 629343,"4,623"
6440,PLATE OMEGA 150MM 4H135D 597404S,"6,739"
6441,PLATE OMEGA 2H 597022S,"1,991"
6442,PLATE OMEGA 3H 597023S,"1,991"
6443,PLATE ONE THIRD TUB 2H 23 626672S,"1,536"
6444,PLATE ONE THIRD TUB 7HL SS 430207,257
6445,PLATE ONETHIRD 38MMX7H 430203,226
6446,PLATE ONETHIRD TUB 3H 3.5 626673S,"1,366"
6447,PLATE ONETHIRD TUB 4H 47 626674S,"1,366"
6448,PLATE ONETHIRD TUB 6H 71 626676S,"1,366"
6449,PLATE ONETHIRD TUB 8H 626678S,"1,366"
6450,PLATE ONETHIRD TUB 9H 626679S,"1,366"
6451,PLATE ONETHIRD VAR 10H 626680S,"1,973"
6452,PLATE ONETHIRD VAR TUB 12H626682S,"1,973"
6453,PLATE ORBITAL 3D LRG 5404005,"7,849"
6454,PLATE ORBITAL FLOOR 3D LFT5404006,"8,163"
6455,PLATE ORBITAL FLOOR3DSM RT5404004,"8,163"
6456,PLATE PELV CURV 108MM 6H 425606,"1,677"
6457,PLATE PELV3.2X60.5MM 4H 425794,"3,085"
6458,PLATE PELVIC 108MM 8H 425608,"1,880"
6459,PLATE PELVIC 118.5MM 10H 425760,"1,947"
6460,PLATE PELVIC 122.5 5H 425708,"1,512"
6461,PLATE PELVIC 186 12H SS 425662,"1,867"
6462,PLATE PELVIC 250 16H 425616,"2,228"
6463,PLATE PELVIC 70.5 6H 425756,"1,454"
6464,PLATE PELVIC 94.5MM 8H 425758,"1,745"
6465,PLATE PELVIC MPS 42.5 3H 425703,"1,512"
6466,PLATE PELVIC QLS RT 425911S,"7,286"
6467,PLATE PELVIC SPS 46.5MM 4H 425754,"1,355"
6468,PLATE PELVIC42.5 6H 425706,"1,336"
6469,PLATE PLANTAR LAPID LFT AR8941PLS,"8,728"
6470,PLATE PLATAR LAPID LFT AR8941PL,"8,728"
6471,PLATE PLYMOUTH THORLUM21 11051015,"47,282"
6472,PLATE POLYAXIAL TALAR LOCK626880S,"4,098"
6473,PLATE PROXIMAL 4.5MM LC (240.041),"8,895"
6474,PLATE RAD GEMINUS 4H RT GMNRTS4HL,"4,355"
6475,PLATE RECON 2.8X10X84MM 7H 430107,"1,530"
6476,PLATE RECON AXSOS4X72MM 6H427036S,"2,143"
6477,PLATE SC CERV 2L 41MM 1140241,"8,745"
6478,PLATE SM TRANSLABYRINT 5300342,"4,701"
6479,PLATE STRAIGHT 12H 507601209,"5,434"
6480,PLATE STRAIGHT 12H LOCK 02130351,"3,047"
6481,PLATE STRAIGHT 20 H 507942009,"5,434"
6482,PLATE STRAIGHT 4H 1.5 5334406,703
6483,PLATE STRAIGHT 6H 507960609,"5,329"
6484,PLATE STRGHT LEIB1.7MM24H55-06724,"3,059"
6485,PLATE SUBOCCIPITAL SM 5300382,"4,701"
6486,PLATE SUP 10H RT 628030S,"4,554"
6487,PLATE SUP 6H BRIDGE LFT 628046S,"5,009"
6488,PLATE SUP 6H RT 628066S,"5,345"
6489,PLATE SUP 7H RT 628027,"4,549"
6490,PLATE SUPERIOR 8H LEFT 628048S,"5,009"
6491,PLATE SUPERIOR 8H RT 6280285,"5,053"
6492,PLATE T 3H 49MM 431024,563
6493,PLATE T SPS 3HD HL 66MM 431026,894
6494,PLATE TEMPORAL .3MM 5300324,"4,701"
6495,PLATE THIRD TUB LOCK 8H AR9943T08,"1,547"
6496,PLATE TIB 1X9X77 6H 621124,255
6497,PLATE TIB COUNTOUR 11 AR13725110,"5,838"
6498,PLATE TIB JOURNEY SZ1 74022211,"5,255"
6499,PLATE TIB JOURNEY SZ6 RT 74022216,"5,255"
6500,PLATE TIB LOCK 8H 3.5 00235700408,"8,652"
6501,PLATE TIBIAL 4 HOLE PROXIMAL LATE,"5,955"
6502,PLATE TIBIAL STEMMED NEXGEN SZ 5,"6,609"
6503,PLATE TLTS 2.0-2.5 4H 507120409,"2,491"
6504,PLATE TROCHANTER NCB 0202263301,"6,541"
6505,PLATE TUB ONETHIRD 7H 83 626677S,"1,366"
6506,PLATE ULS 3.5X57 12H 00493601207,"2,531"
